link_type,packet_size_bytes,bottleneck_mbps,active_senders,offered_load_mbps,throughput_mbps,goodput_mbps,avg_delay_ms,packet_loss_rate_pct,overhead_ratio_pct
wireless,128,10,3,12.000,0.822303,0.674710,6638.892477,94.373513,17.948718
wired,128,10,3,12.000,0.824196,0.676264,6649.475731,94.360557,17.948718
wireless,256,10,3,12.000,1.746776,1.574559,6754.327494,86.869490,9.859155
wired,256,10,3,12.000,1.744269,1.572299,6755.809050,86.888335,9.859155
wireless,512,10,3,12.000,3.750058,3.555610,3418.457166,70.348995,5.185185
wired,512,10,3,12.000,3.750654,3.556175,3422.825955,70.344283,5.185185
wireless,1024,10,3,12.000,7.006755,6.820264,758.394747,43.123675,2.661597
wired,1024,10,3,12.000,7.012269,6.825631,750.366571,43.078916,2.661597
wireless,1500,10,3,12.000,0.481373,0.472552,1281.465969,96.059079,1.832461
wired,1500,10,3,12.000,0.503292,0.494069,1305.893185,95.879633,1.832461
