congestion_mode,offered_load_pct,total_offered_mbps,packet_size_bytes,bottleneck_mbps,active_senders,throughput_mbps,goodput_mbps,avg_delay_ms,packet_loss_rate_pct,overhead_ratio_pct
without_congestion,20,2.000,128,10,1,0.951234,0.780500,4912.525099,60.974576,17.948718
without_congestion,20,2.000,256,10,1,1.691543,1.524771,409.480031,23.760593,9.859155
without_congestion,20,2.000,512,10,1,2.108756,1.999413,6.733901,0.028249,5.185185
without_congestion,20,2.000,1024,10,1,2.054375,1.999695,7.352246,0.014124,2.661597
without_congestion,20,2.000,1500,10,1,2.036771,1.999448,8.104198,0.020691,1.832461
with_congestion,120,12.000,128,10,3,0.822260,0.674675,6640.925655,94.373807,17.948718
with_congestion,120,12.000,256,10,3,1.738158,1.566791,6752.985884,86.934271,9.859155
with_congestion,120,12.000,512,10,3,3.753186,3.558577,3418.601266,70.324260,5.185185
with_congestion,120,12.000,1024,10,3,7.011399,6.824783,755.837180,43.085984,2.661597
with_congestion,120,12.000,1500,10,3,0.459454,0.451034,1255.086877,96.238526,1.832461
