regime,bottleneck_mbps,offered_load_pct,packet_size_bytes,frame_bytes,serial_delay_ms,throughput_mbps,goodput_mbps,avg_delay_ms,packet_loss_rate_pct,overhead_ratio_pct
low_bw,1,300.000000,64,92,0.736000,0.578217,0.402238,6763.764414,86.582687,30.434783
low_bw,1,300.000000,128,156,1.248000,1.020735,0.837526,3494.843589,72.062755,17.948718
low_bw,1,300.000000,256,284,2.272000,1.026631,0.925414,1134.936489,69.130742,9.859155
low_bw,1,300.000000,512,540,4.320000,1.019967,0.967080,806.213546,67.740872,5.185185
low_bw,1,300.000000,1024,1052,8.416000,1.031395,1.003944,952.937084,66.509612,2.661597
low_bw,1,300.000000,1500,1528,12.224000,0.926495,0.909517,970.482916,69.653459,1.832461
high_bw,100,3.000000,64,92,0.007360,0.576110,0.400772,6757.106804,86.631567,30.434783
high_bw,100,3.000000,128,156,0.012480,1.113345,0.913514,3322.676531,69.528039,17.948718
high_bw,100,3.000000,256,284,0.022720,1.993562,1.797014,690.160334,40.056537,9.859155
high_bw,100,3.000000,512,540,0.043200,3.161793,2.997848,7.053869,0.000000,5.185185
high_bw,100,3.000000,1024,1052,0.084160,3.079676,2.997707,6.671899,0.000000,2.661597
high_bw,100,3.000000,1500,1528,0.122240,3.053049,2.997103,7.571309,0.000000,1.832461
